Job ID: 10484947
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id Hopper-v4   --run-id 10484947   --seed 1   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=12, episode=0, episodic_return=10.137
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-12_episode-0.mp4
    -> New best: episodic_return=10.137
global_step=38, episode=1, episodic_return=28.431
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-38_episode-1.mp4
    -> New best: episodic_return=28.431
global_step=76, episode=2, episodic_return=26.775
global_step=97, episode=3, episodic_return=3.941
global_step=112, episode=4, episodic_return=8.912
global_step=145, episode=5, episodic_return=26.427
global_step=167, episode=6, episodic_return=11.117
global_step=212, episode=7, episodic_return=41.550
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-212_episode-7.mp4
    -> New best: episodic_return=41.550
global_step=240, episode=8, episodic_return=33.201
global_step=258, episode=9, episodic_return=17.905
global_step=276, episode=10, episodic_return=14.608
global_step=288, episode=11, episodic_return=7.585
global_step=328, episode=12, episodic_return=38.481
global_step=387, episode=13, episodic_return=58.923
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-387_episode-13.mp4
    -> New best: episodic_return=58.923
global_step=407, episode=14, episodic_return=17.594
global_step=424, episode=15, episodic_return=16.189
global_step=446, episode=16, episodic_return=17.088
global_step=466, episode=17, episodic_return=8.720
global_step=487, episode=18, episodic_return=13.140
global_step=507, episode=19, episodic_return=17.855
global_step=524, episode=20, episodic_return=11.714
global_step=538, episode=21, episodic_return=11.059
global_step=565, episode=22, episodic_return=14.363
global_step=578, episode=23, episodic_return=10.219
global_step=597, episode=24, episodic_return=14.463
global_step=622, episode=25, episodic_return=15.476
global_step=651, episode=26, episodic_return=23.256
global_step=670, episode=27, episodic_return=13.813
global_step=688, episode=28, episodic_return=14.859
global_step=703, episode=29, episodic_return=9.032
global_step=718, episode=30, episodic_return=12.554
global_step=731, episode=31, episodic_return=9.004
global_step=746, episode=32, episodic_return=11.155
global_step=765, episode=33, episodic_return=19.340
global_step=785, episode=34, episodic_return=11.702
global_step=798, episode=35, episodic_return=8.150
global_step=823, episode=36, episodic_return=10.861
global_step=839, episode=37, episodic_return=10.243
global_step=856, episode=38, episodic_return=13.112
global_step=878, episode=39, episodic_return=18.737
global_step=891, episode=40, episodic_return=9.822
global_step=910, episode=41, episodic_return=16.483
global_step=922, episode=42, episodic_return=9.121
global_step=944, episode=43, episodic_return=4.864
global_step=966, episode=44, episodic_return=12.037
