GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Starting SAC + clip in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac_vlm.py   --env-id HumanoidStandup-v4   --run-id 10486461   --seed 1   --total-timesteps 1000000   --vlm-goal 'A humanoid robot standing on both legs on a flat surface without falling.'   --vlm-n-frames 4   --vlm-frame-every 4   --vlm-clip-every 16   --track   --capture-video   --wandb-project-name cleanrl-experiments --vlm-model-type clip --vlm-model-id openai/clip-vit-base-patch32 --video-every 500
CLIP Initialized: model=openai/clip-vit-base-patch32 n_frames=4, frame_every=4, clip_every=16
 Goal: 'A humanoid robot standing on both legs on a flat surface without falling.', delta_reward=True, normalize_reward=True
[VLM Debug] Reset: raw=0.2190
[VLM Debug] step=16 | raw=0.2175 | shaped=0.0000 | reward_mean=-0.0015
[VLM Debug] step=32 | raw=0.2239 | shaped=10.0000 | reward_mean=0.0024
[VLM Debug] step=48 | raw=0.2234 | shaped=-5.6195 | reward_mean=0.0015
[VLM Debug] step=64 | raw=0.2269 | shaped=4.9547 | reward_mean=0.0020
[VLM Debug] step=80 | raw=0.2191 | shaped=-16.2536 | reward_mean=0.0000
[VLM Debug] step=96 | raw=0.2124 | shaped=-11.0809 | reward_mean=-0.0011
[VLM Debug] step=112 | raw=0.2207 | shaped=14.0612 | reward_mean=0.0002
[VLM Debug] step=128 | raw=0.2362 | shaped=18.1369 | reward_mean=0.0022
[VLM Debug] step=144 | raw=0.2279 | shaped=-12.0998 | reward_mean=0.0010
[VLM Debug] step=160 | raw=0.2258 | shaped=-3.7574 | reward_mean=0.0007
[VLM Debug] step=176 | raw=0.2159 | shaped=-12.5923 | reward_mean=-0.0003
[VLM Debug] step=192 | raw=0.2231 | shaped=9.0289 | reward_mean=0.0003
[VLM Debug] step=208 | raw=0.2228 | shaped=-0.9006 | reward_mean=0.0003
[VLM Debug] step=224 | raw=0.2273 | shaped=5.5135 | reward_mean=0.0006
[VLM Debug] step=240 | raw=0.2260 | shaped=-2.6213 | reward_mean=0.0005
[VLM Debug] step=256 | raw=0.2285 | shaped=2.9411 | reward_mean=0.0006
[VLM Debug] step=272 | raw=0.2313 | shaped=3.1970 | reward_mean=0.0007
[VLM Debug] step=288 | raw=0.2260 | shaped=-8.8821 | reward_mean=0.0004
[VLM Debug] step=304 | raw=0.2389 | shaped=17.2251 | reward_mean=0.0010
[VLM Debug] step=320 | raw=0.2352 | shaped=-6.5724 | reward_mean=0.0008
[VLM Debug] step=336 | raw=0.2437 | shaped=10.6008 | reward_mean=0.0012
[VLM Debug] step=352 | raw=0.2312 | shaped=-17.9183 | reward_mean=0.0006
[VLM Debug] step=368 | raw=0.2191 | shaped=-16.0084 | reward_mean=0.0000
[VLM Debug] step=384 | raw=0.2172 | shaped=-2.5350 | reward_mean=-0.0001
[VLM Debug] step=400 | raw=0.2253 | shaped=10.6625 | reward_mean=0.0003
[VLM Debug] step=416 | raw=0.2438 | shaped=21.6247 | reward_mean=0.0010
[VLM Debug] step=432 | raw=0.2416 | shaped=-3.8139 | reward_mean=0.0008
[VLM Debug] step=448 | raw=0.2330 | shaped=-11.3041 | reward_mean=0.0005
[VLM Debug] step=464 | raw=0.2432 | shaped=11.5402 | reward_mean=0.0008
[VLM Debug] step=480 | raw=0.2467 | shaped=3.2965 | reward_mean=0.0009
[VLM Debug] step=496 | raw=0.2437 | shaped=-4.9075 | reward_mean=0.0008
[VLM Debug] step=512 | raw=0.2505 | shaped=7.5146 | reward_mean=0.0010
[VLM Debug] step=528 | raw=0.2412 | shaped=-12.6479 | reward_mean=0.0007
[VLM Debug] step=544 | raw=0.2374 | shaped=-5.5556 | reward_mean=0.0005
[VLM Debug] step=560 | raw=0.2438 | shaped=7.2902 | reward_mean=0.0007
[VLM Debug] step=576 | raw=0.2441 | shaped=-0.4356 | reward_mean=0.0007
[VLM Debug] step=592 | raw=0.2395 | shaped=-6.8564 | reward_mean=0.0006
[VLM Debug] step=608 | raw=0.2358 | shaped=-5.4710 | reward_mean=0.0004
[VLM Debug] step=624 | raw=0.2461 | shaped=12.6314 | reward_mean=0.0007
[VLM Debug] step=640 | raw=0.2412 | shaped=-7.2288 | reward_mean=0.0006
[VLM Debug] step=656 | raw=0.2373 | shaped=-5.8329 | reward_mean=0.0004
[VLM Debug] step=672 | raw=0.2435 | shaped=7.5972 | reward_mean=0.0006
[VLM Debug] step=688 | raw=0.2423 | shaped=-2.4006 | reward_mean=0.0005
[VLM Debug] step=704 | raw=0.2439 | shaped=1.4060 | reward_mean=0.0006
[VLM Debug] step=720 | raw=0.2306 | shaped=-18.1672 | reward_mean=0.0003
[VLM Debug] step=736 | raw=0.2281 | shaped=-3.5707 | reward_mean=0.0002
[VLM Debug] step=752 | raw=0.2490 | shaped=25.6120 | reward_mean=0.0006
[VLM Debug] step=768 | raw=0.2384 | shaped=-13.8124 | reward_mean=0.0004
[VLM Debug] step=784 | raw=0.2311 | shaped=-9.4933 | reward_mean=0.0002
[VLM Debug] step=800 | raw=0.2290 | shaped=-2.8797 | reward_mean=0.0002
[VLM Debug] step=816 | raw=0.2307 | shaped=1.8900 | reward_mean=0.0002
[VLM Debug] step=832 | raw=0.2289 | shaped=-2.6060 | reward_mean=0.0002
[VLM Debug] step=848 | raw=0.2214 | shaped=-9.6646 | reward_mean=0.0000
[VLM Debug] step=864 | raw=0.2271 | shaped=7.0832 | reward_mean=0.0001
[VLM Debug] step=880 | raw=0.2291 | shaped=2.4716 | reward_mean=0.0002
[VLM Debug] step=896 | raw=0.2202 | shaped=-11.6357 | reward_mean=0.0000
[VLM Debug] step=912 | raw=0.2242 | shaped=5.1604 | reward_mean=0.0001
[VLM Debug] step=928 | raw=0.2247 | shaped=0.5149 | reward_mean=0.0001
[VLM Debug] step=944 | raw=0.2299 | shaped=6.5681 | reward_mean=0.0002
[VLM Debug] step=960 | raw=0.2285 | shaped=-2.0113 | reward_mean=0.0002
[VLM Debug] step=976 | raw=0.2419 | shaped=17.1889 | reward_mean=0.0004
[VLM Debug] step=992 | raw=0.2432 | shaped=1.1031 | reward_mean=0.0004
global_step=999, episode=0, episodic_return=-172.876
    -> Best video saved: videos/HumanoidStandup-v4_sac_vlm_10486461/best_step-999_episode-0.mp4
    -> New best: episodic_return=-172.876
[VLM Debug] Reset: raw=0.2227
[VLM Debug] step=16 | raw=0.2220 | shaped=-1.3171 | reward_mean=0.0004
[VLM Debug] step=32 | raw=0.2266 | shaped=5.4866 | reward_mean=0.0004
[VLM Debug] step=48 | raw=0.2213 | shaped=-7.5595 | reward_mean=0.0004
[VLM Debug] step=64 | raw=0.2341 | shaped=16.3525 | reward_mean=0.0005
[VLM Debug] step=80 | raw=0.2250 | shaped=-12.6602 | reward_mean=0.0004
[VLM Debug] step=96 | raw=0.2386 | shaped=17.0845 | reward_mean=0.0006
[VLM Debug] step=112 | raw=0.2340 | shaped=-6.7571 | reward_mean=0.0005
[VLM Debug] step=128 | raw=0.2306 | shaped=-5.1099 | reward_mean=0.0005
[VLM Debug] step=144 | raw=0.2296 | shaped=-1.8779 | reward_mean=0.0004
[VLM Debug] step=160 | raw=0.2385 | shaped=11.0697 | reward_mean=0.0006
[VLM Debug] step=176 | raw=0.2388 | shaped=-0.4105 | reward_mean=0.0006
[VLM Debug] step=192 | raw=0.2406 | shaped=1.6947 | reward_mean=0.0006
[VLM Debug] step=208 | raw=0.2262 | shaped=-19.4559 | reward_mean=0.0004
[VLM Debug] step=224 | raw=0.2250 | shaped=-2.0797 | reward_mean=0.0003
[VLM Debug] step=240 | raw=0.2267 | shaped=1.7909 | reward_mean=0.0004
[VLM Debug] step=256 | raw=0.2322 | shaped=6.7736 | reward_mean=0.0004
[VLM Debug] step=272 | raw=0.2252 | shaped=-9.7671 | reward_mean=0.0003
[VLM Debug] step=288 | raw=0.2283 | shaped=3.6064 | reward_mean=0.0004
[VLM Debug] step=304 | raw=0.2325 | shaped=5.2081 | reward_mean=0.0004
[VLM Debug] step=320 | raw=0.2362 | shaped=4.3509 | reward_mean=0.0005
[VLM Debug] step=336 | raw=0.2432 | shaped=8.7350 | reward_mean=0.0005
[VLM Debug] step=352 | raw=0.2428 | shaped=-1.2233 | reward_mean=0.0005
[VLM Debug] step=368 | raw=0.2380 | shaped=-7.1733 | reward_mean=0.0005
[VLM Debug] step=384 | raw=0.2468 | shaped=11.2734 | reward_mean=0.0006
[VLM Debug] step=400 | raw=0.2397 | shaped=-10.3467 | reward_mean=0.0005
[VLM Debug] step=416 | raw=0.2383 | shaped=-2.6397 | reward_mean=0.0005
[VLM Debug] step=432 | raw=0.2368 | shaped=-2.6238 | reward_mean=0.0004
[VLM Debug] step=448 | raw=0.2402 | shaped=4.1080 | reward_mean=0.0005
[VLM Debug] step=464 | raw=0.2404 | shaped=-0.4727 | reward_mean=0.0005
[VLM Debug] step=480 | raw=0.2377 | shaped=-4.3700 | reward_mean=0.0004
[VLM Debug] step=496 | raw=0.2410 | shaped=4.0056 | reward_mean=0.0005
[VLM Debug] step=512 | raw=0.2406 | shaped=-1.1549 | reward_mean=0.0004
[VLM Debug] step=528 | raw=0.2336 | shaped=-10.3887 | reward_mean=0.0004
[VLM Debug] step=544 | raw=0.2341 | shaped=0.1667 | reward_mean=0.0004
[VLM Debug] step=560 | raw=0.2386 | shaped=5.8664 | reward_mean=0.0004
[VLM Debug] step=576 | raw=0.2412 | shaped=3.0564 | reward_mean=0.0004
[VLM Debug] step=592 | raw=0.2390 | shaped=-3.7610 | reward_mean=0.0004
[VLM Debug] step=608 | raw=0.2252 | shaped=-19.9755 | reward_mean=0.0003
[VLM Debug] step=624 | raw=0.2256 | shaped=0.1398 | reward_mean=0.0003
[VLM Debug] step=640 | raw=0.2267 | shaped=1.1795 | reward_mean=0.0003
[VLM Debug] step=656 | raw=0.2290 | shaped=2.9153 | reward_mean=0.0003
[VLM Debug] step=672 | raw=0.2314 | shaped=3.0749 | reward_mean=0.0003
[VLM Debug] step=688 | raw=0.2324 | shaped=0.9502 | reward_mean=0.0003
[VLM Debug] step=704 | raw=0.2222 | shaped=-15.1409 | reward_mean=0.0002
[VLM Debug] step=720 | raw=0.2329 | shaped=14.9689 | reward_mean=0.0003
[VLM Debug] step=736 | raw=0.2174 | shaped=-22.1038 | reward_mean=0.0002
[VLM Debug] step=752 | raw=0.2283 | shaped=14.8468 | reward_mean=0.0003
[VLM Debug] step=768 | raw=0.2349 | shaped=8.7859 | reward_mean=0.0003
[VLM Debug] step=784 | raw=0.2283 | shaped=-9.6293 | reward_mean=0.0003
[VLM Debug] step=800 | raw=0.2384 | shaped=13.6666 | reward_mean=0.0004
[VLM Debug] step=816 | raw=0.2307 | shaped=-11.1379 | reward_mean=0.0003
[VLM Debug] step=832 | raw=0.2280 | shaped=-4.1273 | reward_mean=0.0003
[VLM Debug] step=848 | raw=0.2286 | shaped=0.4901 | reward_mean=0.0003
[VLM Debug] step=864 | raw=0.2388 | shaped=13.7200 | reward_mean=0.0003
[VLM Debug] step=880 | raw=0.2195 | shaped=-26.5665 | reward_mean=0.0002
[VLM Debug] step=896 | raw=0.2203 | shaped=0.9173 | reward_mean=0.0002
[VLM Debug] step=912 | raw=0.2185 | shaped=-2.7507 | reward_mean=0.0002
[VLM Debug] step=928 | raw=0.2184 | shaped=-0.3977 | reward_mean=0.0002
[VLM Debug] step=944 | raw=0.2286 | shaped=13.7700 | reward_mean=0.0002
[VLM Debug] step=960 | raw=0.2252 | shaped=-5.0213 | reward_mean=0.0002
[VLM Debug] step=976 | raw=0.2318 | shaped=8.7347 | reward_mean=0.0003
[VLM Debug] step=992 | raw=0.2306 | shaped=-2.0526 | reward_mean=0.0003
global_step=2000, episode=1, episodic_return=-325.837
[VLM Debug] Reset: raw=0.2256
[VLM Debug] step=16 | raw=0.2167 | shaped=-12.5890 | reward_mean=0.0002
[VLM Debug] step=32 | raw=0.2307 | shaped=18.8219 | reward_mean=0.0003
[VLM Debug] step=48 | raw=0.2375 | shaped=8.8944 | reward_mean=0.0003
[VLM Debug] step=64 | raw=0.2291 | shaped=-11.9068 | reward_mean=0.0003
[VLM Debug] step=80 | raw=0.2247 | shaped=-6.3596 | reward_mean=0.0002
[VLM Debug] step=96 | raw=0.2355 | shaped=14.2326 | reward_mean=0.0003
[VLM Debug] step=112 | raw=0.2396 | shaped=5.2028 | reward_mean=0.0004
[VLM Debug] step=128 | raw=0.2341 | shaped=-7.9574 | reward_mean=0.0003
[VLM Debug] step=144 | raw=0.2343 | shaped=-0.2540 | reward_mean=0.0003
[VLM Debug] step=160 | raw=0.2368 | shaped=3.0948 | reward_mean=0.0003
[VLM Debug] step=176 | raw=0.2302 | shaped=-9.4863 | reward_mean=0.0003
[VLM Debug] step=192 | raw=0.2260 | shaped=-6.2487 | reward_mean=0.0002
[VLM Debug] step=208 | raw=0.2390 | shaped=17.4961 | reward_mean=0.0003
[VLM Debug] step=224 | raw=0.2355 | shaped=-5.2978 | reward_mean=0.0003
[VLM Debug] step=240 | raw=0.2332 | shaped=-3.6009 | reward_mean=0.0003
[VLM Debug] step=256 | raw=0.2388 | shaped=7.3275 | reward_mean=0.0003
[VLM Debug] step=272 | raw=0.2332 | shaped=-8.1746 | reward_mean=0.0003
[VLM Debug] step=288 | raw=0.2272 | shaped=-8.6287 | reward_mean=0.0002
[VLM Debug] step=304 | raw=0.2167 | shaped=-14.7297 | reward_mean=0.0002
[VLM Debug] step=320 | raw=0.2378 | shaped=28.0500 | reward_mean=0.0003
[VLM Debug] step=336 | raw=0.2385 | shaped=0.5705 | reward_mean=0.0003
[VLM Debug] step=352 | raw=0.2249 | shaped=-18.6203 | reward_mean=0.0002
[VLM Debug] step=368 | raw=0.2344 | shaped=12.3711 | reward_mean=0.0003
[VLM Debug] step=384 | raw=0.2322 | shaped=-3.3007 | reward_mean=0.0003
[VLM Debug] step=400 | raw=0.2230 | shaped=-12.5318 | reward_mean=0.0002
[VLM Debug] step=416 | raw=0.2201 | shaped=-4.1744 | reward_mean=0.0002
[VLM Debug] step=432 | raw=0.2313 | shaped=14.6936 | reward_mean=0.0003
[VLM Debug] step=448 | raw=0.2311 | shaped=-0.6599 | reward_mean=0.0002
[VLM Debug] step=464 | raw=0.2252 | shaped=-8.1544 | reward_mean=0.0002
[VLM Debug] step=480 | raw=0.2208 | shaped=-6.1577 | reward_mean=0.0002
[VLM Debug] step=496 | raw=0.2284 | shaped=9.8903 | reward_mean=0.0002
[VLM Debug] step=512 | raw=0.2308 | shaped=2.9745 | reward_mean=0.0002
[VLM Debug] step=528 | raw=0.2388 | shaped=10.3262 | reward_mean=0.0003
[VLM Debug] step=544 | raw=0.2354 | shaped=-4.9858 | reward_mean=0.0003
[VLM Debug] step=560 | raw=0.2260 | shaped=-12.9722 | reward_mean=0.0002
[VLM Debug] step=576 | raw=0.2329 | shaped=9.0706 | reward_mean=0.0002
[VLM Debug] step=592 | raw=0.2190 | shaped=-18.8674 | reward_mean=0.0002
[VLM Debug] step=608 | raw=0.2283 | shaped=12.1306 | reward_mean=0.0002
[VLM Debug] step=624 | raw=0.2319 | shaped=4.5972 | reward_mean=0.0002
[VLM Debug] step=640 | raw=0.2198 | shaped=-16.3458 | reward_mean=0.0002
[VLM Debug] step=656 | raw=0.2227 | shaped=3.5210 | reward_mean=0.0002
[VLM Debug] step=672 | raw=0.2302 | shaped=9.8339 | reward_mean=0.0002
[VLM Debug] step=688 | raw=0.2352 | shaped=6.3757 | reward_mean=0.0002
[VLM Debug] step=704 | raw=0.2350 | shaped=-0.6606 | reward_mean=0.0002
[VLM Debug] step=720 | raw=0.2285 | shaped=-8.9847 | reward_mean=0.0002
[VLM Debug] step=736 | raw=0.2344 | shaped=7.5702 | reward_mean=0.0002
[VLM Debug] step=752 | raw=0.2462 | shaped=15.4731 | reward_mean=0.0003
[VLM Debug] step=768 | raw=0.2356 | shaped=-14.5296 | reward_mean=0.0002
[VLM Debug] step=784 | raw=0.2386 | shaped=3.7413 | reward_mean=0.0003
[VLM Debug] step=800 | raw=0.2360 | shaped=-3.9372 | reward_mean=0.0002
[VLM Debug] step=816 | raw=0.2301 | shaped=-8.1633 | reward_mean=0.0002
[VLM Debug] step=832 | raw=0.2174 | shaped=-17.1631 | reward_mean=0.0001
[VLM Debug] step=848 | raw=0.2203 | shaped=3.7249 | reward_mean=0.0002
[VLM Debug] step=864 | raw=0.2292 | shaped=11.6670 | reward_mean=0.0002
[VLM Debug] step=880 | raw=0.2321 | shaped=3.4806 | reward_mean=0.0002
[VLM Debug] step=896 | raw=0.2439 | shaped=15.4624 | reward_mean=0.0003
[VLM Debug] step=912 | raw=0.2413 | shaped=-3.7912 | reward_mean=0.0003
[VLM Debug] step=928 | raw=0.2434 | shaped=2.4206 | reward_mean=0.0003
[VLM Debug] step=944 | raw=0.2325 | shaped=-14.8403 | reward_mean=0.0002
[VLM Debug] step=960 | raw=0.2433 | shaped=13.9910 | reward_mean=0.0003
[VLM Debug] step=976 | raw=0.2383 | shaped=-7.0202 | reward_mean=0.0002
[VLM Debug] step=992 | raw=0.2462 | shaped=10.2351 | reward_mean=0.0003
global_step=3001, episode=2, episodic_return=26.715
    -> Best video saved: videos/HumanoidStandup-v4_sac_vlm_10486461/best_step-3001_episode-2.mp4
    -> New best: episodic_return=26.715
[VLM Debug] Reset: raw=0.2144
[VLM Debug] step=16 | raw=0.2212 | shaped=8.7241 | reward_mean=0.0003
[VLM Debug] step=32 | raw=0.2321 | shaped=14.0047 | reward_mean=0.0004
[VLM Debug] step=48 | raw=0.2324 | shaped=-0.0112 | reward_mean=0.0004
[VLM Debug] step=64 | raw=0.2351 | shaped=3.0846 | reward_mean=0.0004
[VLM Debug] step=80 | raw=0.2236 | shaped=-15.7702 | reward_mean=0.0003
[VLM Debug] step=96 | raw=0.2279 | shaped=5.2588 | reward_mean=0.0003
[VLM Debug] step=112 | raw=0.2308 | shaped=3.4507 | reward_mean=0.0004
[VLM Debug] step=128 | raw=0.2274 | shaped=-5.0523 | reward_mean=0.0003
[VLM Debug] step=144 | raw=0.2325 | shaped=6.4149 | reward_mean=0.0004
[VLM Debug] step=160 | raw=0.2283 | shaped=-6.2216 | reward_mean=0.0003
[VLM Debug] step=176 | raw=0.2418 | shaped=17.6312 | reward_mean=0.0004
[VLM Debug] step=192 | raw=0.2323 | shaped=-13.2266 | reward_mean=0.0004
[VLM Debug] step=208 | raw=0.2388 | shaped=8.1503 | reward_mean=0.0004
[VLM Debug] step=224 | raw=0.2416 | shaped=3.2339 | reward_mean=0.0004
[VLM Debug] step=240 | raw=0.2303 | shaped=-15.4876 | reward_mean=0.0003
[VLM Debug] step=256 | raw=0.2313 | shaped=0.8472 | reward_mean=0.0003
[VLM Debug] step=272 | raw=0.2366 | shaped=6.5561 | reward_mean=0.0004
[VLM Debug] step=288 | raw=0.2338 | shaped=-4.2557 | reward_mean=0.0004
[VLM Debug] step=304 | raw=0.2380 | shaped=5.2591 | reward_mean=0.0004
[VLM Debug] step=320 | raw=0.2427 | shaped=5.7344 | reward_mean=0.0004
[VLM Debug] step=336 | raw=0.2500 | shaped=9.3197 | reward_mean=0.0004
[VLM Debug] step=352 | raw=0.2330 | shaped=-23.1421 | reward_mean=0.0003
[VLM Debug] step=368 | raw=0.2233 | shaped=-13.4231 | reward_mean=0.0003
[VLM Debug] step=384 | raw=0.2255 | shaped=2.5317 | reward_mean=0.0003
[VLM Debug] step=400 | raw=0.2234 | shaped=-3.1732 | reward_mean=0.0003
[VLM Debug] step=416 | raw=0.2291 | shaped=7.2698 | reward_mean=0.0003
[VLM Debug] step=432 | raw=0.2297 | shaped=0.3907 | reward_mean=0.0003
[VLM Debug] step=448 | raw=0.2329 | shaped=3.8276 | reward_mean=0.0003
[VLM Debug] step=464 | raw=0.2363 | shaped=4.1452 | reward_mean=0.0003
[VLM Debug] step=480 | raw=0.2399 | shaped=4.2982 | reward_mean=0.0004
[VLM Debug] step=496 | raw=0.2280 | shaped=-16.3649 | reward_mean=0.0003
[VLM Debug] step=512 | raw=0.2327 | shaped=5.8193 | reward_mean=0.0003
