GPU Info: NVIDIA A10
Starting SAC in MuJoCo environment training...
Starting SAC + qwen in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac_vlm.py   --env-id HumanoidStandup-v4   --run-id 10486463   --seed 1   --total-timesteps 1000000   --vlm-goal 'A humanoid robot standing on both legs on a flat surface without falling.'   --vlm-n-frames 4   --vlm-frame-every 4   --vlm-clip-every 16   --track   --capture-video   --wandb-project-name cleanrl-experiments --vlm-model-type qwen --vlm-model-id Qwen/Qwen2-VL-2B-Instruct --video-every 100
Qwen-VL Initialized: model=Qwen/Qwen2-VL-2B-Instruct, n_frames=4, frame_every=4, clip_every=16
delta_reward=True, normalize_reward=True, reward_scale=10.0
[VLM Debug] Reset: raw=0.3074
[VLM Debug] step=16 | raw=0.1128 | shaped=0.0000 | reward_mean=-0.1946
[VLM Debug] step=32 | raw=0.1113 | shaped=10.0000 | reward_mean=-0.0981
[VLM Debug] step=48 | raw=0.1176 | shaped=7.4874 | reward_mean=-0.0633
[VLM Debug] step=64 | raw=0.1779 | shaped=9.5919 | reward_mean=-0.0324
[VLM Debug] step=80 | raw=0.1801 | shaped=3.1604 | reward_mean=-0.0255
[VLM Debug] step=96 | raw=0.1993 | shaped=4.5690 | reward_mean=-0.0180
[VLM Debug] step=112 | raw=0.2120 | shaped=3.4477 | reward_mean=-0.0136
[VLM Debug] step=128 | raw=0.2069 | shaped=1.0400 | reward_mean=-0.0126
[VLM Debug] step=144 | raw=0.1710 | shaped=-3.0604 | reward_mean=-0.0152
[VLM Debug] step=160 | raw=0.1733 | shaped=2.4377 | reward_mean=-0.0134
[VLM Debug] step=176 | raw=0.1384 | shaped=-3.1636 | reward_mean=-0.0154
[VLM Debug] step=192 | raw=0.1082 | shaped=-2.2954 | reward_mean=-0.0166
[VLM Debug] step=208 | raw=0.1208 | shaped=4.6909 | reward_mean=-0.0143
[VLM Debug] step=224 | raw=0.1294 | shaped=3.8136 | reward_mean=-0.0127
[VLM Debug] step=240 | raw=0.1312 | shaped=2.5150 | reward_mean=-0.0117
[VLM Debug] step=256 | raw=0.1624 | shaped=7.5435 | reward_mean=-0.0091
[VLM Debug] step=272 | raw=0.1824 | shaped=5.2498 | reward_mean=-0.0074
[VLM Debug] step=288 | raw=0.1801 | shaped=0.9380 | reward_mean=-0.0071
[VLM Debug] step=304 | raw=0.1603 | shaped=-2.4353 | reward_mean=-0.0077
[VLM Debug] step=320 | raw=0.1848 | shaped=6.3000 | reward_mean=-0.0061
[VLM Debug] step=336 | raw=0.1779 | shaped=-0.1664 | reward_mean=-0.0062
[VLM Debug] step=352 | raw=0.1404 | shaped=-6.3769 | reward_mean=-0.0076
[VLM Debug] step=368 | raw=0.1192 | shaped=-2.8307 | reward_mean=-0.0082
[VLM Debug] step=384 | raw=0.1176 | shaped=1.3923 | reward_mean=-0.0079
[VLM Debug] step=400 | raw=0.1520 | shaped=9.0641 | reward_mean=-0.0062
[VLM Debug] step=416 | raw=0.1176 | shaped=-6.1228 | reward_mean=-0.0073
[VLM Debug] step=432 | raw=0.1144 | shaped=0.9141 | reward_mean=-0.0071
[VLM Debug] step=448 | raw=0.1603 | shaped=11.6747 | reward_mean=-0.0053
[VLM Debug] step=464 | raw=0.1277 | shaped=-6.0906 | reward_mean=-0.0062
[VLM Debug] step=480 | raw=0.1176 | shaped=-0.8927 | reward_mean=-0.0063
[VLM Debug] step=496 | raw=0.0863 | shaped=-5.7214 | reward_mean=-0.0071
[VLM Debug] step=512 | raw=0.1242 | shaped=10.3320 | reward_mean=-0.0057
[VLM Debug] step=528 | raw=0.1160 | shaped=-0.5867 | reward_mean=-0.0058
[VLM Debug] step=544 | raw=0.1896 | shaped=17.8794 | reward_mean=-0.0035
[VLM Debug] step=560 | raw=0.1993 | shaped=3.0209 | reward_mean=-0.0031
[VLM Debug] step=576 | raw=0.1919 | shaped=-1.0103 | reward_mean=-0.0032
[VLM Debug] step=592 | raw=0.1097 | shaped=-17.7441 | reward_mean=-0.0053
[VLM Debug] step=608 | raw=0.1582 | shaped=12.0269 | reward_mean=-0.0039
[VLM Debug] step=624 | raw=0.0676 | shaped=-18.7021 | reward_mean=-0.0061
[VLM Debug] step=640 | raw=0.0901 | shaped=6.2354 | reward_mean=-0.0054
[VLM Debug] step=656 | raw=0.1824 | shaped=20.3806 | reward_mean=-0.0030
[VLM Debug] step=672 | raw=0.2147 | shaped=7.4262 | reward_mean=-0.0022
[VLM Debug] step=688 | raw=0.1176 | shaped=-19.2587 | reward_mean=-0.0044
[VLM Debug] step=704 | raw=0.1225 | shaped=1.9200 | reward_mean=-0.0042
[VLM Debug] step=720 | raw=0.1384 | shaped=4.1711 | reward_mean=-0.0038
[VLM Debug] step=736 | raw=0.1225 | shaped=-2.5500 | reward_mean=-0.0040
[VLM Debug] step=752 | raw=0.1442 | shaped=5.4228 | reward_mean=-0.0035
[VLM Debug] step=768 | raw=0.1348 | shaped=-1.2649 | reward_mean=-0.0036
[VLM Debug] step=784 | raw=0.1242 | shaped=-1.5017 | reward_mean=-0.0037
[VLM Debug] step=800 | raw=0.1779 | shaped=12.3123 | reward_mean=-0.0026
[VLM Debug] step=816 | raw=0.1541 | shaped=-4.5887 | reward_mean=-0.0030
[VLM Debug] step=832 | raw=0.1348 | shaped=-3.5530 | reward_mean=-0.0033
[VLM Debug] step=848 | raw=0.1404 | shaped=1.9685 | reward_mean=-0.0032
[VLM Debug] step=864 | raw=0.0737 | shaped=-13.8809 | reward_mean=-0.0043
[VLM Debug] step=880 | raw=0.0851 | shaped=3.4668 | reward_mean=-0.0040
[VLM Debug] step=896 | raw=0.1500 | shaped=15.0171 | reward_mean=-0.0028
[VLM Debug] step=912 | raw=0.1442 | shaped=-0.6700 | reward_mean=-0.0029
[VLM Debug] step=928 | raw=0.1097 | shaped=-6.9797 | reward_mean=-0.0034
[VLM Debug] step=944 | raw=0.1541 | shaped=10.5379 | reward_mean=-0.0026
[VLM Debug] step=960 | raw=0.1461 | shaped=-1.1869 | reward_mean=-0.0027
