Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=2, episode=0, episodic_return=3.000
    -> Best video saved: videos/InvertedPendulum-v4_sac_10490560/best_step-2_episode-0.mp4
    -> New best: episodic_return=3.000
global_step=6, episode=1, episodic_return=3.000
global_step=16, episode=2, episodic_return=9.000
    -> Best video saved: videos/InvertedPendulum-v4_sac_10490560/best_step-16_episode-2.mp4
    -> New best: episodic_return=9.000
global_step=23, episode=3, episodic_return=6.000
global_step=28, episode=4, episodic_return=4.000
global_step=35, episode=5, episodic_return=6.000
global_step=40, episode=6, episodic_return=4.000
global_step=47, episode=7, episodic_return=6.000
global_step=53, episode=8, episodic_return=5.000
global_step=58, episode=9, episodic_return=4.000
global_step=72, episode=10, episodic_return=13.000
    -> Best video saved: videos/InvertedPendulum-v4_sac_10490560/best_step-72_episode-10.mp4
    -> New best: episodic_return=13.000
global_step=76, episode=11, episodic_return=3.000
global_step=82, episode=12, episodic_return=5.000
global_step=94, episode=13, episodic_return=11.000
global_step=105, episode=14, episodic_return=10.000
global_step=111, episode=15, episodic_return=5.000
global_step=121, episode=16, episodic_return=9.000
global_step=129, episode=17, episodic_return=7.000
global_step=133, episode=18, episodic_return=3.000
global_step=146, episode=19, episodic_return=12.000
global_step=159, episode=20, episodic_return=12.000
global_step=166, episode=21, episodic_return=6.000
global_step=176, episode=22, episodic_return=9.000
global_step=180, episode=23, episodic_return=3.000
global_step=189, episode=24, episodic_return=8.000
global_step=198, episode=25, episodic_return=8.000
global_step=204, episode=26, episodic_return=5.000
global_step=214, episode=27, episodic_return=9.000
global_step=226, episode=28, episodic_return=11.000
global_step=235, episode=29, episodic_return=8.000
global_step=240, episode=30, episodic_return=4.000
global_step=249, episode=31, episodic_return=8.000
global_step=258, episode=32, episodic_return=8.000
global_step=268, episode=33, episodic_return=9.000
global_step=273, episode=34, episodic_return=4.000
global_step=280, episode=35, episodic_return=6.000
global_step=286, episode=36, episodic_return=5.000
global_step=291, episode=37, episodic_return=4.000
global_step=299, episode=38, episodic_return=7.000
global_step=303, episode=39, episodic_return=3.000
global_step=307, episode=40, episodic_return=3.000
global_step=313, episode=41, episodic_return=5.000
global_step=318, episode=42, episodic_return=4.000
global_step=328, episode=43, episodic_return=9.000
global_step=333, episode=44, episodic_return=4.000
global_step=338, episode=45, episodic_return=4.000
global_step=346, episode=46, episodic_return=7.000
global_step=354, episode=47, episodic_return=7.000
global_step=358, episode=48, episodic_return=3.000
global_step=362, episode=49, episodic_return=3.000
global_step=366, episode=50, episodic_return=3.000
global_step=370, episode=51, episodic_return=3.000
global_step=374, episode=52, episodic_return=3.000
global_step=379, episode=53, episodic_return=4.000
global_step=383, episode=54, episodic_return=3.000
global_step=387, episode=55, episodic_return=3.000
global_step=393, episode=56, episodic_return=5.000
global_step=403, episode=57, episodic_return=9.000
global_step=409, episode=58, episodic_return=5.000
global_step=418, episode=59, episodic_return=8.000
global_step=422, episode=60, episodic_return=3.000
global_step=430, episode=61, episodic_return=7.000
global_step=441, episode=62, episodic_return=10.000
global_step=458, episode=63, episodic_return=16.000
    -> Best video saved: videos/InvertedPendulum-v4_sac_10490560/best_step-458_episode-63.mp4
    -> New best: episodic_return=16.000
global_step=462, episode=64, episodic_return=3.000
global_step=475, episode=65, episodic_return=12.000
global_step=483, episode=66, episodic_return=7.000
global_step=490, episode=67, episodic_return=6.000
global_step=495, episode=68, episodic_return=4.000
global_step=507, episode=69, episodic_return=11.000
